Token,InfluenceScore,RecallScore,Category,Type,OnScreenRender
border_8500,0.8618,0.5024,High Influence,Tagged Variant,"Displays as: ""border_8500"""
attempt_3185,0.7093,0.9666,High Recall,Tagged Variant,"Displays as: ""attempt_3185"""
black_7385,0.9803,0.3349,High Influence,Tagged Variant,"Displays as: ""black_7385"""
background208,0.6604,0.4049,Peripheral,Tagged Variant,"Displays as: ""background208"""
base_2568,0.7729,0.6763,Peripheral,Tagged Variant,"Displays as: ""base_2568"""
big630,0.9774,0.7031,High Influence,Tagged Variant,"Displays as: ""big630"""
break448,0.7679,0.7516,Peripheral,Tagged Variant,"Displays as: ""break448"""
attack_7649,0.8554,0.3119,High Influence,Tagged Variant,"Displays as: ""attack_7649"""
better_2813,0.759,0.9723,High Recall,Tagged Variant,"Displays as: ""better_2813"""
boy_2076,0.7097,0.3312,Peripheral,Tagged Variant,"Displays as: ""boy_2076"""
aspect_1873,0.9936,0.4001,High Influence,Tagged Variant,"Displays as: ""aspect_1873"""
bit285,0.7637,0.3098,Peripheral,Tagged Variant,"Displays as: ""bit285"""
behavior_2814,0.9576,0.6968,High Influence,Tagged Variant,"Displays as: ""behavior_2814"""
beauty_2363,0.692,0.9526,High Recall,Tagged Variant,"Displays as: ""beauty_2363"""
affect_3239,0.6852,0.7662,Peripheral,Tagged Variant,"Displays as: ""affect_3239"""
behavior_7759,0.6125,0.8759,High Recall,Tagged Variant,"Displays as: ""behavior_7759"""
affect_2777,0.8607,0.3093,High Influence,Tagged Variant,"Displays as: ""affect_2777"""
assume_3454,0.7474,0.6794,Peripheral,Tagged Variant,"Displays as: ""assume_3454"""
analysis862,0.9457,0.6217,High Influence,Tagged Variant,"Displays as: ""analysis862"""
buy_4596,0.7893,0.6493,Peripheral,Tagged Variant,"Displays as: ""buy_4596"""
basic696,0.9873,0.3505,High Influence,Tagged Variant,"Displays as: ""basic696"""
account531,0.6742,0.7791,Peripheral,Tagged Variant,"Displays as: ""account531"""
basic114,0.9474,0.6523,High Influence,Tagged Variant,"Displays as: ""basic114"""
both_8990,0.9106,0.8356,Core Anchor,Tagged Variant,"Displays as: ""both_8990"""
base_4826,0.9084,0.6397,High Influence,Tagged Variant,"Displays as: ""base_4826"""
campaign969,0.9379,0.4046,High Influence,Tagged Variant,"Displays as: ""campaign969"""
beyond752,0.9044,0.7538,High Influence,Tagged Variant,"Displays as: ""beyond752"""
bad260,0.8505,0.4207,High Influence,Tagged Variant,"Displays as: ""bad260"""
candidate337,0.6525,0.9107,High Recall,Tagged Variant,"Displays as: ""candidate337"""
address_3072,0.613,0.7292,Peripheral,Tagged Variant,"Displays as: ""address_3072"""
border_4170,0.9683,0.41,High Influence,Tagged Variant,"Displays as: ""border_4170"""
career_9888,0.8467,0.9736,High Influence,Tagged Variant,"Displays as: ""career_9888"""
button178,0.9186,0.6629,High Influence,Tagged Variant,"Displays as: ""button178"""
arrive974,0.7926,0.351,Peripheral,Tagged Variant,"Displays as: ""arrive974"""
author_3720,0.6469,0.7388,Peripheral,Tagged Variant,"Displays as: ""author_3720"""
available939,0.6501,0.4772,Peripheral,Tagged Variant,"Displays as: ""available939"""
block214,0.8742,0.8626,High Influence,Tagged Variant,"Displays as: ""block214"""
budget_4185,0.7721,0.8725,High Recall,Tagged Variant,"Displays as: ""budget_4185"""
art21,0.6802,0.9853,High Recall,Tagged Variant,"Displays as: ""art21"""
activity584,0.7966,0.6513,Peripheral,Tagged Variant,"Displays as: ""activity584"""
argue103,0.6257,0.6185,Peripheral,Tagged Variant,"Displays as: ""argue103"""
arrive_4660,0.8328,0.8274,High Influence,Tagged Variant,"Displays as: ""arrive_4660"""
away36,0.7076,0.3927,Peripheral,Tagged Variant,"Displays as: ""away36"""
amazing_1151,0.919,0.6828,High Influence,Tagged Variant,"Displays as: ""amazing_1151"""
campaign_1390,0.7241,0.6824,Peripheral,Tagged Variant,"Displays as: ""campaign_1390"""
bad_5217,0.7821,0.3626,Peripheral,Tagged Variant,"Displays as: ""bad_5217"""
busy305,0.6046,0.5926,Peripheral,Tagged Variant,"Displays as: ""busy305"""
bit_8552,0.629,0.8973,High Recall,Tagged Variant,"Displays as: ""bit_8552"""
base206,0.757,0.8993,High Recall,Tagged Variant,"Displays as: ""base206"""
admit154,0.792,0.3695,Peripheral,Tagged Variant,"Displays as: ""admit154"""
another_4011,0.84,0.3635,High Influence,Tagged Variant,"Displays as: ""another_4011"""
allow_8119,0.7167,0.4839,Peripheral,Tagged Variant,"Displays as: ""allow_8119"""
build_9494,0.878,0.9123,High Influence,Tagged Variant,"Displays as: ""build_9494"""
also804,0.944,0.3902,High Influence,Tagged Variant,"Displays as: ""also804"""
bad_6835,0.9119,0.804,Core Anchor,Tagged Variant,"Displays as: ""bad_6835"""
behavior537,0.6158,0.3708,Peripheral,Tagged Variant,"Displays as: ""behavior537"""
big_4984,0.7922,0.7362,Peripheral,Tagged Variant,"Displays as: ""big_4984"""
big_2646,0.642,0.5492,Peripheral,Tagged Variant,"Displays as: ""big_2646"""
amount650,0.6968,0.8522,High Recall,Tagged Variant,"Displays as: ""amount650"""
case633,0.9947,0.4636,High Influence,Tagged Variant,"Displays as: ""case633"""
access_3496,0.657,0.7474,Peripheral,Tagged Variant,"Displays as: ""access_3496"""
another_7345,0.7996,0.465,Peripheral,Tagged Variant,"Displays as: ""another_7345"""
avoid_8277,0.8473,0.7996,High Influence,Tagged Variant,"Displays as: ""avoid_8277"""
add_1464,0.881,0.9116,High Influence,Tagged Variant,"Displays as: ""add_1464"""
beauty_5729,0.8239,0.3888,High Influence,Tagged Variant,"Displays as: ""beauty_5729"""
argue_8548,0.6039,0.9066,High Recall,Tagged Variant,"Displays as: ""argue_8548"""
analysis142,0.7306,0.7155,Peripheral,Tagged Variant,"Displays as: ""analysis142"""
against533,0.8071,0.389,High Influence,Tagged Variant,"Displays as: ""against533"""
break784,0.6351,0.5993,Peripheral,Tagged Variant,"Displays as: ""break784"""
become865,0.7403,0.4126,Peripheral,Tagged Variant,"Displays as: ""become865"""
basic_6803,0.6133,0.7902,Peripheral,Tagged Variant,"Displays as: ""basic_6803"""
actually_4662,0.6314,0.8312,High Recall,Tagged Variant,"Displays as: ""actually_4662"""
bit940,0.7588,0.3741,Peripheral,Tagged Variant,"Displays as: ""bit940"""
attempt313,0.6531,0.6543,Peripheral,Tagged Variant,"Displays as: ""attempt313"""
better979,0.827,0.8702,High Influence,Tagged Variant,"Displays as: ""better979"""
across_3645,0.8758,0.9553,High Influence,Tagged Variant,"Displays as: ""across_3645"""
admit_7047,0.9202,0.6595,High Influence,Tagged Variant,"Displays as: ""admit_7047"""
burn_6766,0.6801,0.9652,High Recall,Tagged Variant,"Displays as: ""burn_6766"""
accident_3907,0.667,0.675,Peripheral,Tagged Variant,"Displays as: ""accident_3907"""
become_4715,0.6418,0.5759,Peripheral,Tagged Variant,"Displays as: ""become_4715"""
across_4448,0.8546,0.8937,High Influence,Tagged Variant,"Displays as: ""across_4448"""
background_7889,0.8826,0.6451,High Influence,Tagged Variant,"Displays as: ""background_7889"""
amazing776,0.6126,0.6303,Peripheral,Tagged Variant,"Displays as: ""amazing776"""
busy_8657,0.9745,0.6432,High Influence,Tagged Variant,"Displays as: ""busy_8657"""
aware826,0.6208,0.8927,High Recall,Tagged Variant,"Displays as: ""aware826"""
binary_6755,0.8165,0.8824,High Influence,Tagged Variant,"Displays as: ""binary_6755"""
boy_3774,0.8836,0.5825,High Influence,Tagged Variant,"Displays as: ""boy_3774"""
ask_9346,0.9484,0.5333,High Influence,Tagged Variant,"Displays as: ""ask_9346"""
car_8017,0.8856,0.6443,High Influence,Tagged Variant,"Displays as: ""car_8017"""
across696,0.9207,0.7009,High Influence,Tagged Variant,"Displays as: ""across696"""
amount97,0.7358,0.4668,Peripheral,Tagged Variant,"Displays as: ""amount97"""
ability_5289,0.9259,0.8558,Core Anchor,Tagged Variant,"Displays as: ""ability_5289"""
basic305,0.632,0.6405,Peripheral,Tagged Variant,"Displays as: ""basic305"""
building880,0.9579,0.5338,High Influence,Tagged Variant,"Displays as: ""building880"""
button514,0.819,0.3748,High Influence,Tagged Variant,"Displays as: ""button514"""
busy65,0.9269,0.4672,High Influence,Tagged Variant,"Displays as: ""busy65"""
awesome854,0.7809,0.9645,High Recall,Tagged Variant,"Displays as: ""awesome854"""
activity777,0.8574,0.5136,High Influence,Tagged Variant,"Displays as: ""activity777"""
active_8828,0.8106,0.4182,High Influence,Tagged Variant,"Displays as: ""active_8828"""
avoid903,0.8926,0.6225,High Influence,Tagged Variant,"Displays as: ""avoid903"""
black_4940,0.6327,0.515,Peripheral,Tagged Variant,"Displays as: ""black_4940"""
budget845,0.6241,0.3246,Peripheral,Tagged Variant,"Displays as: ""budget845"""
beauty717,0.6988,0.5262,Peripheral,Tagged Variant,"Displays as: ""beauty717"""
beyond889,0.6638,0.6809,Peripheral,Tagged Variant,"Displays as: ""beyond889"""
available170,0.9487,0.6862,High Influence,Tagged Variant,"Displays as: ""available170"""
agree_8005,0.6877,0.5496,Peripheral,Tagged Variant,"Displays as: ""agree_8005"""
add972,0.9903,0.6131,High Influence,Tagged Variant,"Displays as: ""add972"""
against_7625,0.7348,0.9759,High Recall,Tagged Variant,"Displays as: ""against_7625"""
across_6706,0.6728,0.5641,Peripheral,Tagged Variant,"Displays as: ""across_6706"""
allow914,0.9159,0.4808,High Influence,Tagged Variant,"Displays as: ""allow914"""
big_3889,0.8635,0.4704,High Influence,Tagged Variant,"Displays as: ""big_3889"""
background_2371,0.7993,0.6204,Peripheral,Tagged Variant,"Displays as: ""background_2371"""
another_6505,0.8221,0.8317,High Influence,Tagged Variant,"Displays as: ""another_6505"""
between_6787,0.8877,0.4442,High Influence,Tagged Variant,"Displays as: ""between_6787"""
block_8981,0.6914,0.7965,Peripheral,Tagged Variant,"Displays as: ""block_8981"""
boy950,0.9985,0.3148,High Influence,Tagged Variant,"Displays as: ""boy950"""
begin381,0.9899,0.5933,High Influence,Tagged Variant,"Displays as: ""begin381"""
both169,0.8601,0.8431,High Influence,Tagged Variant,"Displays as: ""both169"""
active565,0.6798,0.5371,Peripheral,Tagged Variant,"Displays as: ""active565"""
block677,0.8721,0.6946,High Influence,Tagged Variant,"Displays as: ""block677"""
appear215,0.6289,0.4435,Peripheral,Tagged Variant,"Displays as: ""appear215"""
can110,0.6123,0.8194,High Recall,Tagged Variant,"Displays as: ""can110"""
and_2109,0.7031,0.3366,Peripheral,Tagged Variant,"Displays as: ""and_2109"""
after316,0.785,0.8968,High Recall,Tagged Variant,"Displays as: ""after316"""
begin_1230,0.9473,0.4387,High Influence,Tagged Variant,"Displays as: ""begin_1230"""
budget_3292,0.8909,0.9121,High Influence,Tagged Variant,"Displays as: ""budget_3292"""
attack596,0.8971,0.5468,High Influence,Tagged Variant,"Displays as: ""attack596"""
again_5132,0.7702,0.8059,High Recall,Tagged Variant,"Displays as: ""again_5132"""
campaign_7358,0.7384,0.5235,Peripheral,Tagged Variant,"Displays as: ""campaign_7358"""
appear_8309,0.7484,0.9341,High Recall,Tagged Variant,"Displays as: ""appear_8309"""
bill542,0.9951,0.3886,High Influence,Tagged Variant,"Displays as: ""bill542"""
attitude658,0.616,0.425,Peripheral,Tagged Variant,"Displays as: ""attitude658"""
big191,0.9468,0.6451,High Influence,Tagged Variant,"Displays as: ""big191"""
burn_2616,0.8315,0.3574,High Influence,Tagged Variant,"Displays as: ""burn_2616"""
agency799,0.7754,0.4372,Peripheral,Tagged Variant,"Displays as: ""agency799"""
almost_8061,0.8901,0.9606,High Influence,Tagged Variant,"Displays as: ""almost_8061"""
budget_3864,0.7947,0.9835,High Recall,Tagged Variant,"Displays as: ""budget_3864"""
around956,0.9494,0.5634,High Influence,Tagged Variant,"Displays as: ""around956"""
capacity_7168,0.9603,0.9463,Core Anchor,Tagged Variant,"Displays as: ""capacity_7168"""
basis_1420,0.7687,0.6814,Peripheral,Tagged Variant,"Displays as: ""basis_1420"""
break_8579,0.7107,0.4888,Peripheral,Tagged Variant,"Displays as: ""break_8579"""
career864,0.8369,0.7917,High Influence,Tagged Variant,"Displays as: ""career864"""
activity945,0.9649,0.7612,High Influence,Tagged Variant,"Displays as: ""activity945"""
benefit,0.6843,0.9924,High Recall,Natural,"Displays as: ""benefit"""
article_9456,0.8492,0.4855,High Influence,Tagged Variant,"Displays as: ""article_9456"""
build789,0.8526,0.7704,High Influence,Tagged Variant,"Displays as: ""build789"""
attitude_8722,0.8932,0.3364,High Influence,Tagged Variant,"Displays as: ""attitude_8722"""
buy549,0.6526,0.3796,Peripheral,Tagged Variant,"Displays as: ""buy549"""
attack982,0.8863,0.3027,High Influence,Tagged Variant,"Displays as: ""attack982"""
anything220,0.9636,0.9996,Core Anchor,Tagged Variant,"Displays as: ""anything220"""
already_8667,0.6719,0.8616,High Recall,Tagged Variant,"Displays as: ""already_8667"""
amount403,0.695,0.8507,High Recall,Tagged Variant,"Displays as: ""amount403"""
attempt581,0.9886,0.6568,High Influence,Tagged Variant,"Displays as: ""attempt581"""
burn476,0.6724,0.51,Peripheral,Tagged Variant,"Displays as: ""burn476"""
between_8939,0.9418,0.4059,High Influence,Tagged Variant,"Displays as: ""between_8939"""
because_9984,0.7969,0.4993,Peripheral,Tagged Variant,"Displays as: ""because_9984"""
authority358,0.6989,0.5632,Peripheral,Tagged Variant,"Displays as: ""authority358"""
available,0.9483,0.8294,Core Anchor,Natural,"Displays as: ""available"""
actual867,0.7781,0.6778,Peripheral,Tagged Variant,"Displays as: ""actual867"""
available398,0.8059,0.3542,High Influence,Tagged Variant,"Displays as: ""available398"""
buy_8762,0.7437,0.3126,Peripheral,Tagged Variant,"Displays as: ""buy_8762"""
awesome549,0.8372,0.3716,High Influence,Tagged Variant,"Displays as: ""awesome549"""
bit_5394,0.6654,0.5873,Peripheral,Tagged Variant,"Displays as: ""bit_5394"""
behavior_6644,0.7564,0.9532,High Recall,Tagged Variant,"Displays as: ""behavior_6644"""
capacity202,0.9878,0.7462,High Influence,Tagged Variant,"Displays as: ""capacity202"""
and_1798,0.7033,0.8613,High Recall,Tagged Variant,"Displays as: ""and_1798"""
beat_5861,0.8627,0.6265,High Influence,Tagged Variant,"Displays as: ""beat_5861"""
burn_3901,0.7301,0.5532,Peripheral,Tagged Variant,"Displays as: ""burn_3901"""
article540,0.9094,0.3759,High Influence,Tagged Variant,"Displays as: ""article540"""
around_7970,0.6523,0.9132,High Recall,Tagged Variant,"Displays as: ""around_7970"""
attempt911,0.9879,0.8482,Core Anchor,Tagged Variant,"Displays as: ""attempt911"""
action_7813,0.7815,0.4177,Peripheral,Tagged Variant,"Displays as: ""action_7813"""
accept659,0.6944,0.6586,Peripheral,Tagged Variant,"Displays as: ""accept659"""
active_3346,0.6294,0.6412,Peripheral,Tagged Variant,"Displays as: ""active_3346"""
bring647,0.6679,0.7376,Peripheral,Tagged Variant,"Displays as: ""bring647"""
build180,0.8079,0.9623,High Influence,Tagged Variant,"Displays as: ""build180"""
basis294,0.7348,0.7058,Peripheral,Tagged Variant,"Displays as: ""basis294"""
believe929,0.9316,0.6782,High Influence,Tagged Variant,"Displays as: ""believe929"""
beauty_8945,0.7724,0.3352,Peripheral,Tagged Variant,"Displays as: ""beauty_8945"""
account68,0.6995,0.344,Peripheral,Tagged Variant,"Displays as: ""account68"""
capacity_2724,0.8469,0.4311,High Influence,Tagged Variant,"Displays as: ""capacity_2724"""
binary158,0.8827,0.3227,High Influence,Tagged Variant,"Displays as: ""binary158"""
because_9271,0.6668,0.8203,High Recall,Tagged Variant,"Displays as: ""because_9271"""
about_3549,0.667,0.8063,High Recall,Tagged Variant,"Displays as: ""about_3549"""
blue_4998,0.6147,0.3952,Peripheral,Tagged Variant,"Displays as: ""blue_4998"""
awesome_3578,0.8946,0.8853,High Influence,Tagged Variant,"Displays as: ""awesome_3578"""
action692,0.8655,0.4084,High Influence,Tagged Variant,"Displays as: ""action692"""
break841,0.7899,0.5108,Peripheral,Tagged Variant,"Displays as: ""break841"""
become_4617,0.9377,0.4743,High Influence,Tagged Variant,"Displays as: ""become_4617"""
address257,0.9223,0.5606,High Influence,Tagged Variant,"Displays as: ""address257"""
basic_7337,0.8341,0.4783,High Influence,Tagged Variant,"Displays as: ""basic_7337"""
because_2611,0.9473,0.6423,High Influence,Tagged Variant,"Displays as: ""because_2611"""
behavior879,0.6823,0.5852,Peripheral,Tagged Variant,"Displays as: ""behavior879"""
best610,0.6448,0.9906,High Recall,Tagged Variant,"Displays as: ""best610"""
anger_3568,0.7079,0.3391,Peripheral,Tagged Variant,"Displays as: ""anger_3568"""
above802,0.6228,0.3995,Peripheral,Tagged Variant,"Displays as: ""above802"""
busy564,0.8125,0.337,High Influence,Tagged Variant,"Displays as: ""busy564"""
aspect_3160,0.9746,0.7381,High Influence,Tagged Variant,"Displays as: ""aspect_3160"""
attention574,0.6157,0.3382,Peripheral,Tagged Variant,"Displays as: ""attention574"""
body_8638,0.6488,0.8855,High Recall,Tagged Variant,"Displays as: ""body_8638"""
avoid_9483,0.7809,0.6584,Peripheral,Tagged Variant,"Displays as: ""avoid_9483"""
base162,0.9736,0.6689,High Influence,Tagged Variant,"Displays as: ""base162"""
add20,0.7265,0.6931,Peripheral,Tagged Variant,"Displays as: ""add20"""
background_4675,0.8029,0.4196,High Influence,Tagged Variant,"Displays as: ""background_4675"""
author_2203,0.6166,0.4384,Peripheral,Tagged Variant,"Displays as: ""author_2203"""
agree_3269,0.6593,0.5232,Peripheral,Tagged Variant,"Displays as: ""agree_3269"""
agree_5646,0.9947,0.7154,High Influence,Tagged Variant,"Displays as: ""agree_5646"""
best788,0.986,0.4471,High Influence,Tagged Variant,"Displays as: ""best788"""
approach_4858,0.602,0.3814,Peripheral,Tagged Variant,"Displays as: ""approach_4858"""
admit_7869,0.9807,0.9791,Core Anchor,Tagged Variant,"Displays as: ""admit_7869"""
appear_3603,0.8556,0.3154,High Influence,Tagged Variant,"Displays as: ""appear_3603"""
aspect_3251,0.9472,0.8619,Core Anchor,Tagged Variant,"Displays as: ""aspect_3251"""
book251,0.7819,0.8516,High Recall,Tagged Variant,"Displays as: ""book251"""
actual_8672,0.8062,0.508,High Influence,Tagged Variant,"Displays as: ""actual_8672"""
account8,0.7955,0.3949,Peripheral,Tagged Variant,"Displays as: ""account8"""
also404,0.8667,0.4019,High Influence,Tagged Variant,"Displays as: ""also404"""
attack760,0.6559,0.7882,Peripheral,Tagged Variant,"Displays as: ""attack760"""
brain874,0.612,0.75,Peripheral,Tagged Variant,"Displays as: ""brain874"""
after633,0.7232,0.8479,High Recall,Tagged Variant,"Displays as: ""after633"""
attack395,0.8819,0.9562,High Influence,Tagged Variant,"Displays as: ""attack395"""
campaign69,0.6807,0.7843,Peripheral,Tagged Variant,"Displays as: ""campaign69"""
candidate928,0.8694,0.4091,High Influence,Tagged Variant,"Displays as: ""candidate928"""
another494,0.988,0.4704,High Influence,Tagged Variant,"Displays as: ""another494"""
body_4336,0.6376,0.8895,High Recall,Tagged Variant,"Displays as: ""body_4336"""
border_8392,0.869,0.4465,High Influence,Tagged Variant,"Displays as: ""border_8392"""
argue_8971,0.7775,0.3508,Peripheral,Tagged Variant,"Displays as: ""argue_8971"""
begin560,0.9473,0.7923,High Influence,Tagged Variant,"Displays as: ""begin560"""
actual_7532,0.6709,0.5818,Peripheral,Tagged Variant,"Displays as: ""actual_7532"""
block_5724,0.8771,0.944,High Influence,Tagged Variant,"Displays as: ""block_5724"""
across_2625,0.9352,0.7552,High Influence,Tagged Variant,"Displays as: ""across_2625"""
believe_7227,0.9778,0.3633,High Influence,Tagged Variant,"Displays as: ""believe_7227"""
author_7712,0.8733,0.9635,High Influence,Tagged Variant,"Displays as: ""author_7712"""
bill533,0.7989,0.481,Peripheral,Tagged Variant,"Displays as: ""bill533"""
art357,0.8471,0.536,High Influence,Tagged Variant,"Displays as: ""art357"""
candidate946,0.9476,0.5816,High Influence,Tagged Variant,"Displays as: ""candidate946"""
appear_9072,0.8282,0.3359,High Influence,Tagged Variant,"Displays as: ""appear_9072"""
art_3402,0.6122,0.6476,Peripheral,Tagged Variant,"Displays as: ""art_3402"""
bill_1939,0.9724,0.3863,High Influence,Tagged Variant,"Displays as: ""bill_1939"""
beat_1770,0.8758,0.5807,High Influence,Tagged Variant,"Displays as: ""beat_1770"""
bring_9013,0.8706,0.5455,High Influence,Tagged Variant,"Displays as: ""bring_9013"""
campaign906,0.6863,0.841,High Recall,Tagged Variant,"Displays as: ""campaign906"""
big953,0.8636,0.8622,High Influence,Tagged Variant,"Displays as: ""big953"""
aspect_4021,0.7575,0.4074,Peripheral,Tagged Variant,"Displays as: ""aspect_4021"""
and_5171,0.8605,0.5566,High Influence,Tagged Variant,"Displays as: ""and_5171"""
burn620,0.6426,0.5613,Peripheral,Tagged Variant,"Displays as: ""burn620"""
another_6451,0.8631,0.406,High Influence,Tagged Variant,"Displays as: ""another_6451"""
better_9361,0.9998,0.8589,Core Anchor,Tagged Variant,"Displays as: ""better_9361"""
bill746,0.6193,0.7951,Peripheral,Tagged Variant,"Displays as: ""bill746"""
admin_9073,0.9909,0.4333,High Influence,Tagged Variant,"Displays as: ""admin_9073"""
behavior161,0.7628,0.5567,Peripheral,Tagged Variant,"Displays as: ""behavior161"""
beauty_6105,0.9483,0.3741,High Influence,Tagged Variant,"Displays as: ""beauty_6105"""
car31,0.913,0.7397,High Influence,Tagged Variant,"Displays as: ""car31"""
business_7290,0.8268,0.385,High Influence,Tagged Variant,"Displays as: ""business_7290"""
believe_5943,0.8954,0.9902,High Influence,Tagged Variant,"Displays as: ""believe_5943"""
account370,0.9514,0.8465,Core Anchor,Tagged Variant,"Displays as: ""account370"""
can_2420,0.7617,0.5732,Peripheral,Tagged Variant,"Displays as: ""can_2420"""
art_3306,0.7308,0.705,Peripheral,Tagged Variant,"Displays as: ""art_3306"""
animal_6445,0.867,0.9379,High Influence,Tagged Variant,"Displays as: ""animal_6445"""
already_1073,0.9231,0.6879,High Influence,Tagged Variant,"Displays as: ""already_1073"""
bill285,0.9049,0.4221,High Influence,Tagged Variant,"Displays as: ""bill285"""
awesome540,0.9191,0.5651,High Influence,Tagged Variant,"Displays as: ""awesome540"""
accept33,0.7742,0.8902,High Recall,Tagged Variant,"Displays as: ""accept33"""
and_5748,0.9271,0.7509,High Influence,Tagged Variant,"Displays as: ""and_5748"""
anything264,0.6481,0.7555,Peripheral,Tagged Variant,"Displays as: ""anything264"""
agree_4032,0.8178,0.9068,High Influence,Tagged Variant,"Displays as: ""agree_4032"""
bill_6431,0.6023,0.9258,High Recall,Tagged Variant,"Displays as: ""bill_6431"""
business_5094,0.7298,0.9439,High Recall,Tagged Variant,"Displays as: ""business_5094"""
better_1505,0.7466,0.3664,Peripheral,Tagged Variant,"Displays as: ""better_1505"""
background_7313,0.7585,0.6809,Peripheral,Tagged Variant,"Displays as: ""background_7313"""
because681,0.8782,0.8184,High Influence,Tagged Variant,"Displays as: ""because681"""
become_4124,0.7554,0.8298,High Recall,Tagged Variant,"Displays as: ""become_4124"""
aware_5409,0.7795,0.7247,Peripheral,Tagged Variant,"Displays as: ""aware_5409"""
bit710,0.695,0.4168,Peripheral,Tagged Variant,"Displays as: ""bit710"""
already_7579,0.7493,0.8582,High Recall,Tagged Variant,"Displays as: ""already_7579"""
begin_8255,0.6909,0.8041,High Recall,Tagged Variant,"Displays as: ""begin_8255"""
about516,0.6293,0.3603,Peripheral,Tagged Variant,"Displays as: ""about516"""
budget_2615,0.8414,0.6247,High Influence,Tagged Variant,"Displays as: ""budget_2615"""
art950,0.8673,0.4218,High Influence,Tagged Variant,"Displays as: ""art950"""
add_6281,0.8478,0.5362,High Influence,Tagged Variant,"Displays as: ""add_6281"""
access738,0.7854,0.3127,Peripheral,Tagged Variant,"Displays as: ""access738"""
break_1706,0.7519,0.5802,Peripheral,Tagged Variant,"Displays as: ""break_1706"""
amazing680,0.9453,0.6849,High Influence,Tagged Variant,"Displays as: ""amazing680"""
adult809,0.8076,0.7337,High Influence,Tagged Variant,"Displays as: ""adult809"""
budget552,0.7917,0.7644,Peripheral,Tagged Variant,"Displays as: ""budget552"""
area_3105,0.6103,0.8854,High Recall,Tagged Variant,"Displays as: ""area_3105"""
accept909,0.7365,0.4508,Peripheral,Tagged Variant,"Displays as: ""accept909"""
argue600,0.7521,0.3843,Peripheral,Tagged Variant,"Displays as: ""argue600"""
amount_1917,0.7595,0.8961,High Recall,Tagged Variant,"Displays as: ""amount_1917"""
about104,0.8321,0.4096,High Influence,Tagged Variant,"Displays as: ""about104"""
animal122,0.8134,0.9823,High Influence,Tagged Variant,"Displays as: ""animal122"""
art568,0.8432,0.8898,High Influence,Tagged Variant,"Displays as: ""art568"""
cancel_8315,0.906,0.6506,High Influence,Tagged Variant,"Displays as: ""cancel_8315"""
brain327,0.9252,0.987,Core Anchor,Tagged Variant,"Displays as: ""brain327"""
body_9072,0.8872,0.3682,High Influence,Tagged Variant,"Displays as: ""body_9072"""
before_9743,0.9822,0.5121,High Influence,Tagged Variant,"Displays as: ""before_9743"""
basis706,0.6073,0.7468,Peripheral,Tagged Variant,"Displays as: ""basis706"""
almost996,0.6783,0.545,Peripheral,Tagged Variant,"Displays as: ""almost996"""
bring_6583,0.603,0.9499,High Recall,Tagged Variant,"Displays as: ""bring_6583"""
affect226,0.859,0.3459,High Influence,Tagged Variant,"Displays as: ""affect226"""
add_8650,0.9592,0.6846,High Influence,Tagged Variant,"Displays as: ""add_8650"""
away579,0.6974,0.7136,Peripheral,Tagged Variant,"Displays as: ""away579"""
bit567,0.9708,0.7569,High Influence,Tagged Variant,"Displays as: ""bit567"""
business671,0.6241,0.479,Peripheral,Tagged Variant,"Displays as: ""business671"""
aspect762,0.9738,0.5552,High Influence,Tagged Variant,"Displays as: ""aspect762"""
about_2523,0.7406,0.8906,High Recall,Tagged Variant,"Displays as: ""about_2523"""
actual_1615,0.6406,0.4365,Peripheral,Tagged Variant,"Displays as: ""actual_1615"""
add_2503,0.7943,0.8788,High Recall,Tagged Variant,"Displays as: ""add_2503"""
also295,0.7027,0.6939,Peripheral,Tagged Variant,"Displays as: ""also295"""
beat_9462,0.7139,0.8335,High Recall,Tagged Variant,"Displays as: ""beat_9462"""
attack_4895,0.7229,0.7995,Peripheral,Tagged Variant,"Displays as: ""attack_4895"""
both_3341,0.9212,0.4453,High Influence,Tagged Variant,"Displays as: ""both_3341"""
bit302,0.8157,0.6982,High Influence,Tagged Variant,"Displays as: ""bit302"""
border148,0.7245,0.9074,High Recall,Tagged Variant,"Displays as: ""border148"""
capacity_9401,0.8441,0.6025,High Influence,Tagged Variant,"Displays as: ""capacity_9401"""
cancel_3624,0.8865,0.9766,High Influence,Tagged Variant,"Displays as: ""cancel_3624"""
avoid_2412,0.709,0.6166,Peripheral,Tagged Variant,"Displays as: ""avoid_2412"""
also26,0.7654,0.3999,Peripheral,Tagged Variant,"Displays as: ""also26"""
anything_6203,0.6488,0.5726,Peripheral,Tagged Variant,"Displays as: ""anything_6203"""
become_2503,0.6725,0.9662,High Recall,Tagged Variant,"Displays as: ""become_2503"""
analysis_8729,0.8724,0.5238,High Influence,Tagged Variant,"Displays as: ""analysis_8729"""
begin_1090,0.6726,0.9077,High Recall,Tagged Variant,"Displays as: ""begin_1090"""
again_1390,0.8101,0.9169,High Influence,Tagged Variant,"Displays as: ""again_1390"""
blue_4771,0.8836,0.5451,High Influence,Tagged Variant,"Displays as: ""blue_4771"""
admin_6352,0.6428,0.3583,Peripheral,Tagged Variant,"Displays as: ""admin_6352"""
attempt_1286,0.8269,0.8072,High Influence,Tagged Variant,"Displays as: ""attempt_1286"""
career_1018,0.7026,0.5181,Peripheral,Tagged Variant,"Displays as: ""career_1018"""
